News#,Title Content,Match,Score,Polarity
313,"HUBCO INC HCO 1ST QTR NET","",0,NEUTRAL
314,"KANSAS CITY GULF EXPORT PRICES USDA","",0,NEUTRAL
315,"MANHATTAN NATIONAL MLC ELECTS CHAIRMAN","",0,NEUTRAL
316,"CHICAGO CASH GRAIN","",0,NEUTRAL
317,"WILDERNESS EXPERIENCE INC 4TH QTR LOSS","loss,",-1,NEGATIVE
318,"TOTAL SYSTEMS SERVICES TSYS 1ST QTR NET","",0,NEUTRAL
319,"WILDERNESS EXPERIENCE MAY FILE FOR BANKRUPTCY","",0,NEUTRAL
320,"KANSAS CITY DAILY FEEDWHOLESALE PRICES USDA","",0,NEUTRAL
321,"RECENT INITIAL SHARE OFFERINGS FILED WITH SEC","",0,NEUTRAL
322,"ETRON NAMES DIRECTOR OF CHAFF DIVISION","chaff,",-1,NEGATIVE
323,"PERCEPTRONICS PERC UNIT GETS NAVY CONTRACT","",0,NEUTRAL
324,"BERMUDA STAR BSL LEASES VESSEL","",0,NEUTRAL
325,"IRAQ SAYS FIERCE FIGHTING TO DISLODGE IRANIANS","fierce,",-1,NEGATIVE
326,"PREMDOR PLANS TWOFORONE STOCK SPLIT","split,",-1,NEGATIVE
327,"TELETRAK ADVANCED TECHNOLOGY 4TH QTR LOSS","loss, advanced,",0,NEUTRAL
328,"HOOKER CORP LTD NAMES NEW PRESIDENT FOR UNIT","",0,NEUTRAL
329,"CANNON CAN SELLS STAKE IN HBOCANNON VENTURE","",0,NEUTRAL
330,"GENCORP GY STAYS ON SP CREDITWATCH NEGATIVE","negative,",-1,NEGATIVE
331,"HOUSTON OIL TRUST HO HALTS ROYALTIES","trust,",1,POSITIVE
332,"UPPER PENINSULA POWER CO UPEN SETS PAYOUT","",0,NEUTRAL
333,"NY COFFEE FUTURES CLOSE HIGHER","",0,NEUTRAL
334,"ITT CORP ITT DECLARES DIVIDEND","",0,NEUTRAL
335,"DAILY MIDWEST LIVESTOCK SUMMARY USDA","",0,NEUTRAL
336,"PACIFIC LIGHTING CORP PLT QTLY DIVIDEND","",0,NEUTRAL
337,"STALEY CONTINENTAL STA REGULAR DIVIDEND SET","",0,NEUTRAL
338,"ITT CORP ITT REGULAR QTRLY DIVIDEND","",0,NEUTRAL
339,"HOGCORN RATIO UP IN WEEK USDA","",0,NEUTRAL
340,"COMTERM GENERAL INSTRUMENT GRL IN CONTRACT","",0,NEUTRAL
341,"WESTMIN TO RAISE MYRA FALLS CAPACITY BY 33 PCT","falls,",-1,NEGATIVE
342,"MINNEAPOLIS DAILY CASH GRAIN CLOSE RAIL USDA","rail,",-1,NEGATIVE
343,"CRYODYNAMICS CRYD WARRANTS CONVERTED","",0,NEUTRAL
344,"MOODYS DOWNGRADES DAYTON HUDSONS 13 BILLION DLRS OF DEBT","debt,",-1,NEGATIVE
345,"SUN SUN RAISES HEATING OIL BARGE PRICE","",0,NEUTRAL
346,"WALL STREET STOCKS LOWER IN LATE TRADING","",0,NEUTRAL
347,"US SELLING 132 BILLION DLRS OF 3 AND 6MO BILLS APRIL 13 TO PAY DOWN 1235 BILLION DLRS","",0,NEUTRAL
348,"LEVITT LVT FILES FOR DEBENTURE OFFERING","",0,NEUTRAL
349,"SPORTSCENE ACQUIRES CHRISTOPHE VAN HOUTTE CHAIN","",0,NEUTRAL
350,"US CONSUMER CREDIT ROSE 177 BILLION DLRS IN FEB VS REVISED 789 MLN JAN GAIN","gain,",1,POSITIVE
351,"NYSE TUMBLES 45 POINTS ON PROFIT TAKING AND FUTURES RELATED SELL PROGRAMS TRADERS SAY","tumbles,",-1,NEGATIVE
352,"RONSON CORP RONC 4TH QTR DEC 31","",0,NEUTRAL
353,"IRAQ REPORTS FIERCE FIGHTING TO REMOVE IRANIANS","fierce,",-1,NEGATIVE
354,"WESTMIN TO RAISE MYRA FALLS CAPACITY BY 33 PCT","falls,",-1,NEGATIVE
355,"TREASURY BALANCES AT FED ROSE ON APRIL 6","",0,NEUTRAL
356,"GENERAL PHYSICS GPHY TO PURCHASE SHARES","",0,NEUTRAL
357,"ITT CORP TO BUY BACK UP TO 10 MLN SHARES OF COMMON STOCK","",0,NEUTRAL
358,"KANSAS CITY TRUCK PRICES USDA","",0,NEUTRAL
359,"US TO SELL 132 BILLION DLRS IN BILLS","",0,NEUTRAL
360,"MANUFACTURERS MHC IN BUILDING FORECLOSURE","",0,NEUTRAL
361,"TEXACO FILES IN TEXAS COURT TO ENJOIN 103 BILLION DLR BOND PENNZOIL ATTORNEY","enjoin,",-1,NEGATIVE
362,"ITT STOCK BUYBACK TO INCLUDE COMMON AND PREFERRED SHARES","",0,NEUTRAL
363,"TERRACE BANK OF FLORIDA TO SELL 500000 SHARES","",0,NEUTRAL
364,"HISHEAR INDUSTRIES INC HSI SETS PAYOUT","",0,NEUTRAL
365,"COCACOLA BOTTLING COKE TERMINATES TALKS","",0,NEUTRAL
366,"NY FCOJ FUTURES CLOSE HIGHER","",0,NEUTRAL
367,"ITT ITT TO BUY BACK COMMON PREFERRED ISSUES","issues,",-1,NEGATIVE
368,"WINNIPEG OILSEED FUTURES END UP GRAINS MIXED","",0,NEUTRAL
369,"WEEKLY ELECTRIC OUTPUT UP 111 PCT FROM 1986","",0,NEUTRAL
370,"US DEBT FUTURES CLOSE DOWN NEAR DAILY LOWS","debt,",-1,NEGATIVE
371,"DAYTON HUDSON XXX DOWNGRADED BY MOODYS","",0,NEUTRAL
372,"JAPANESE CRUSHERS BUY CANADIAN RAPESEED","",0,NEUTRAL
373,"CAREPLUS CPLS SEEKS APPROVAL IN ACQUISITION","approval,",1,POSITIVE
374,"WALL STREET CLOSE SHARPLY LOWER","sharply,",-1,NEGATIVE
375,"NY PHYSICAL COFFEE MARKET SEES LIGHT BUSINESS","",0,NEUTRAL
376,"SOUTHERN UNION SUG TO SELL NOTES DEBENTURES","",0,NEUTRAL
377,"CANADA STOCKS CLOSE LOWER ON PROFIT TAKING","",0,NEUTRAL
378,"US ENERGY FUTURES SETTLE WITH MODEST GAINS","gains, modest,",2,POSITIVE
379,"US FEB CONSUMER CREDIT ROSE 177 BILLION DLRS","",0,NEUTRAL
380,"YEUTTER OPPOSES US RETALIATORY POWER TRANSFER","retaliatory,",-1,NEGATIVE
381,"GULF EDIBLE OIL PRICES April 7","",0,NEUTRAL
382,"TEXACO TX FILES TO ENJOIN 103 BILLION DLR BOND","enjoin,",-1,NEGATIVE
383,"MOODYS AFFIRMS UNITED TECHNOLOGIES UTX DEBT","debt,",-1,NEGATIVE
384,"YEUTTER CALLS TEXTILE BILL PURE PROTECTIONISM","pure,",1,POSITIVE
385,"GROUP TO BUY MORE INTERMEDICS ITM SHARES","",0,NEUTRAL
386,"SEAGATE TECHNOLOGY SGAT 3RD QTR MARCH 3 NET","",0,NEUTRAL
387,"GROUP RAISES TEXSTYRENE FOAM STAKE TO 117 PCT","",0,NEUTRAL
388,"ENRO HOLDING BUYS ENRO SHIRT AND FOXCROFT","",0,NEUTRAL
389,"NEBRASKA FEEDLOT CATTLE UP 050100 DLR USDA","",0,NEUTRAL
390,"SPARTECH SPTN REVERSE STOCK SPLIT APPROVED","split,",-1,NEGATIVE
391,"PEOPLE RIDESHARING SYSTEMS RIDE 1ST QTR NET","",0,NEUTRAL
392,"SUPERMARKETS GENERAL SGL AFFIRMED BY SP","",0,NEUTRAL
393,"ITT CORP TO REDEEM THREE SERIES OF PREFERRED STOCK","redeem,",1,POSITIVE
394,"GAO FARM CREDIT PLAN SUPPORTED BY KEY LAWMAKER","supported,",1,POSITIVE
395,"BRAZILS DEBT CRISIS BECOMING POLITICAL CRISIS","crisis, debt,",-2,NEGATIVE
396,"WALL STREET STOCKS CLOSING AVERAGES","",0,NEUTRAL
397,"AMEX STOCK PRICES CLOSE LOWER","",0,NEUTRAL
398,"BRAZIL SETS UP SPECIAL DEBT COMMISSION","debt,",-1,NEGATIVE
399,"DESJARDINS GROUP LOWERS VISA INTEREST RATE","",0,NEUTRAL
400,"SEEQ TECHNOLOGY INC SEEQ 2ND QTR MARCH 31","",0,NEUTRAL
401,"TXW OKLA FEEDLOT CATTLE STDYUP 050 DLRUSDA","",0,NEUTRAL
402,"NY OILSEEDS REPORT","",0,NEUTRAL
403,"BAHIA COCOA FUTURES CLSG","",0,NEUTRAL
404,"LITTLE INDUSTRY IMPROVEMENT DATA GENERAL DGN","improvement,",1,POSITIVE
405,"MINNEAPOLIS HFCS TRADE PUT AT 109 CONTRACTS","",0,NEUTRAL
406,"DOLLAR ENDS WITH MODEST LOSSES IN NEW YORK","losses, modest,",0,NEUTRAL
407,"SENATE EXTENDS DAIRY COMMISSION REPORT","",0,NEUTRAL
408,"CENTRAL US CARLOT PORK TRADE USDA APRIL 7","",0,NEUTRAL
409,"USSDR RATE MOVES TO 128435","",0,NEUTRAL
410,"REPUBLICBANK RPT DEBT DOWNGRADED BY SP","debt,",-1,NEGATIVE
411,"NACCO INDUSTRIES NC TO REPORT 2ND QTR GAIN","gain,",1,POSITIVE
412,"NYFE TO MOVE TO NY COTTON EXCHANGE","",0,NEUTRAL
413,"INTERFACE FLOORING SYSTEMS IFSIA IN OFFERING","",0,NEUTRAL
414,"CASH WHOLESALE PORK PRICES","",0,NEUTRAL
415,"SENATE EXTENDS DAIRY COMMISSION REPORT","",0,NEUTRAL
416,"BRAZILIAN SOYBEAN AND PRODUCT MARKET","",0,NEUTRAL
417,"BUFFTON BUFF TO POST INVESTIGATION CHARGE","",0,NEUTRAL
418,"CASH WHOLESALE BEEF PRICES","",0,NEUTRAL
419,"YEUTTER BLAMES OVERPRODUCTION FOR TRADE PROBLEMS","problems,",-1,NEGATIVE
420,"ASCS TERMINAL MARKET VALUES FOR PIK GRAIN","",0,NEUTRAL
421,"SUMMERWINTER TIME CHANGES","",0,NEUTRAL
422,"NY RUBBER REPORT","",0,NEUTRAL
423,"AMERICAN DYNAMICS AMDC TO SELL 51 PCT STAKE","",0,NEUTRAL
424,"ITT ITT TO REDEEM THREE PREFERRED ISSUES","redeem, issues,",0,NEUTRAL
425,"COMMODITY RESEARCH BUREAU PRICES INDEX New York","",0,NEUTRAL
426,"CONRAIL FILES PETITION AGAINST ERIE ERIE","",0,NEUTRAL
427,"BOXED BEEF CUTOUT VALUEMOVEMENTUSDA","",0,NEUTRAL
428,"REUTER COMMODITY HIGHLIGHTS 2100 GMT APRIL 7","",0,NEUTRAL
429,"GRAIN SHIPS LOADING AT PORTLAND","",0,NEUTRAL
430,"ITALYS ENI TO INVEST IN VENEZUELAN PROJECTS","",0,NEUTRAL
431,"BRAZILIAN DOMESTIC SOYBEAN AND PRODUCT","",0,NEUTRAL
432,"DREXEL TELLS US STOCK BUYERS TO LOOK ABROAD","",0,NEUTRAL
433,"EASTERN KANSAS FEEDLOT CATTLE STEADY USDA","steady,",1,POSITIVE
434,"WESTERN KANSAS FEEDLOT CATTLE STDYUP 050 USDA","",0,NEUTRAL
435,"TEXACO CONFIRMS IT FILED PETITION FOR RELIEF FROM BOND PROVISIONS IN TEXAS APPEALS COURT","relief,",1,POSITIVE
436,"REPUBLICBANK RPT TO RECLASSIFY BRAZIL LOANS","",0,NEUTRAL
437,"SUPPLIES MIDEAST TENSION FUEL GAINS IN OIL","tension, gains,",0,NEUTRAL
438,"US STOCK INDEX FUTURES PLUMMET IN LATE TRADE","",0,NEUTRAL
439,"CANADIAN BONDS CLOSE LOWER","",0,NEUTRAL
440,"FOB US GULF CORN VALUES SLIGHTLY FIRMER","firmer,",1,POSITIVE
441,"API SAYS DISTILLATE STOCKS UP 628000 BBLS GASOLINE UP 229 MLN CRUDE UP 852 MLN","crude,",-1,NEGATIVE
442,"SOUTHERN TEXAS GRAIN DIFFERENTIALS ADJUSTED","",0,NEUTRAL
443,"TEXACO TX CONFIRMS TEXAS COURT FILING","",0,NEUTRAL
444,"US CREDIT MARKETS CLOSE SHARPLY LOWER","sharply,",-1,NEGATIVE
445,"DOLLAR ENDS WITH MODEST LOSSES IN NEW YORK","losses, modest,",0,NEUTRAL
446,"YEUTTER OPPOSES US RETALIATORY POWER TRANSFER","retaliatory,",-1,NEGATIVE
447,"YEUTTER CALLS TEXTILE BILL PURE PROTECTIONISM","pure,",1,POSITIVE
448,"YEUTTER BLAMES OVERPRODUCTION FOR TRADE PROBLEMS","problems,",-1,NEGATIVE
449,"AMOSKEAG BANK AMKG TO SEEK REHEARING","",0,NEUTRAL
450,"EXPORT BUSINESS GRAINSOILSEEDS COMPLEX","complex,",-1,NEGATIVE
451,"EGYPT SAID TO CANCEL PL480 SOFT WHEAT TENDER","tender, soft,",2,POSITIVE
452,"DOE RECOMMENDS SPECIAL UNIT TO ENRICH URANIUM","enrich,",1,POSITIVE
453,"RED LION INNS LP BEGINS OFFERING","",0,NEUTRAL
454,"JORDAN BOOSTS BIDS IN EXPORT BONUS WHEAT TENDER","tender, bonus,",2,POSITIVE
455,"MOROCCO TENDERS THURSDAY FOR PL 480 WHEAT","",0,NEUTRAL
456,"US CREDIT MARKETS CLOSE SHARPLY LOWER","sharply,",-1,NEGATIVE
457,"COMMODITIES TODAY IN WASHINGTON FOR APRIL 8","",0,NEUTRAL
458,"BAKER VOLCKER MEET WEST GERMAN OFFICIALS","",0,NEUTRAL
459,"LAC LAC BOOSTING EXPLORATION SPENDING","",0,NEUTRAL
460,"TRILON DECLARES STOCK DIVIDEND","",0,NEUTRAL
461,"LAC MINERALS BOOSTING EXPLORATION SPENDING","",0,NEUTRAL
462,"LOGICON INC LGN GETS CONTRACT ADDONS","",0,NEUTRAL
463,"API SAYS DISTILLATE GASOLINE STOCKS UP IN WEEK","",0,NEUTRAL
464,"REUTER CANADA BUSINESS HIGHLIGHTS","",0,NEUTRAL
465,"REUTER MONEY NEWS HIGHLIGHTS 2145 GMT APRIL 7","",0,NEUTRAL
466,"FIRST TORONTO COMPLETES ISSUE","issue,",-1,NEGATIVE
467,"ALLEGHENY AG PREFERED SHAREHOLDERS FILE SUIT","prefered,",1,POSITIVE
468,"CAPITAL CITIESABCS CCB ABC TV IN DEAL","",0,NEUTRAL
469,"TAP AIR PORTUGAL SIGNS CONTRACT FOR AIRBUS","",0,NEUTRAL
470,"CANADIANS URGE EXEMPTION FROM US TRADE BILL","",0,NEUTRAL
471,"INTERFACE IFSIA BEGINS OFFERING","",0,NEUTRAL
472,"CHEVRON CHV LAUNCHES PLATFORM OFF CALIFORNIA","",0,NEUTRAL
473,"MARITRANS LP BEGINS OFFERING","",0,NEUTRAL
474,"AMERICAN AGRONOMICS CORP AGR 2ND QTR FEB 28","",0,NEUTRAL
475,"NASA PICKS BOEING BA FOR SYSTEM CONTRACT","",0,NEUTRAL
476,"JAPAN SEEKS TO STRENGTHEN PARIS ACCORD ON CURRENCIES JAPANESE OFFICIALS SAY","",0,NEUTRAL
477,"CURRENCY TARGET ZONES WILL NOT BE DISCUSSED AT G7 MEETING JAPANESE OFFICIALS SAY","",0,NEUTRAL
478,"REUTER BUSINESS NEWS HIGHLIGHTS APRIL 7","",0,NEUTRAL
479,"TEXAS MAY CONSIDER INCOME TAX TO SOLVE BUDGET WOES","",0,NEUTRAL
480,"GYNEX GYNXU SEARLE END MARKETING PACT","",0,NEUTRAL
481,"HELIGMEYERS CO HMY INCREASES DIVIDEND","",0,NEUTRAL
482,"HELIGMEYERS CO HMY YEAR FEB 28","",0,NEUTRAL
483,"NANOMETRICS INC NANO REDUCES WORKFORCE","",0,NEUTRAL
484,"SENATE REPORT REAGAN PLANS EARLY SDI DEPLOYMENT","",0,NEUTRAL
485,"KELLY OIL AND GAS PARTNERS KLY YEAR DEC 31","",0,NEUTRAL
486,"TRANSCANADA RESOURCES WINS FILING EXTENSION","wins,",1,POSITIVE
487,"JAPAN SEEKS TO STRENGTHEN PARIS CURRENCY ACCORD","",0,NEUTRAL
488,"MOODYS SAYS LOWER RATINGS SHOW 1987 DOWNTREND","",0,NEUTRAL
489,"COMSAT CQ CHANGES NAME OF HINET UNIT","",0,NEUTRAL
490,"AMERITRUST AMTR INTRODUCES IRA FUND","",0,NEUTRAL
491,"TCW CONVERTIBLE SECURITIES CVT SETS DIVIDEND","",0,NEUTRAL
492,"AUSTRALIAN DOLLAR OPENS EASIER","easier,",1,POSITIVE
493,"HOUSE COMMITTEE SLASHES STAR WARS FUNDING","",0,NEUTRAL
494,"RUDING SAYS BANKS DEBTORS SHOULD TAKE LEAD","lead,",1,POSITIVE
495,"CURRENCY FUTURES TO KEY OFF G5 G7 MEETINGS","",0,NEUTRAL
496,"TEXACO GETS TEMPORARY RESTRAINING ORDER FROM TEXAS COURT AGAINST PENNZOIL","",0,NEUTRAL
497,"TEXACO TX GETS TEMPORARY RESTRAINING ORDER","",0,NEUTRAL
498,"POEHL WARNS AGAINST FURTHER DOLLAR FALL","fall,",-1,NEGATIVE
499,"NZ UNEMPLOYMENT RATE 39 PCT IN DECEMBER QUARTER","",0,NEUTRAL
500,"DOLLAR OPENS EASIER IN TOKYO","easier,",1,POSITIVE
501,"NZEALAND RESERVE BANK GIVES BOND TENDER DETAILS","tender,",1,POSITIVE
502,"Bank of Japan buys dollars shortly after opening at around 14530 yen dealers","",0,NEUTRAL
503,"BANK OF JAPAN INTERVENES SOON AFTER TOKYO OPENING","",0,NEUTRAL
504,"US DOLLAR OPENS LOWER IN HONG KONG","",0,NEUTRAL
505,"JAPAN RUBBER STOCKS FALL IN MARCH","fall,",-1,NEGATIVE
506,"SOUTH KOREAN WON FIXED AT 25MONTH HIGH","won,",1,POSITIVE
507,"TOKYO GOLD FUTURES OPEN SLIGHTLY FIRMER","gold, firmer,",2,POSITIVE
508,"HONG KONG TERM MONEY 1000 APR 8","",0,NEUTRAL
509,"GOLD OPENS FIRMER IN HONG KONG","gold, firmer,",2,POSITIVE
510,"SYDNEY FINANCIAL FUTURES OPEN MIXED","",0,NEUTRAL
511,"US INTEREST RATE FUTURES OPEN SLIGHTLY LOWER","",0,NEUTRAL
512,"SIMEX CURRENCY FUTURES EASE IN EARLY TRADING","ease,",1,POSITIVE
513,"NIPPON MINING LOWERS COPPER PRICE","",0,NEUTRAL
514,"REUTER WORLD NEWS HIGHLIGHTS 0300 GMT APRIL 8","",0,NEUTRAL
515,"ASIAN DOLLAR DEPOSITS OPEN QUIETLY MIXED","",0,NEUTRAL
516,"YEN BOND FUTURES HIT RECORD HIGH IN EARLY TRADE","",0,NEUTRAL
517,"HK OFFICIAL STOCK EXCHANGE BAR JARDINE ISSUE","issue,",-1,NEGATIVE
518,"AUSTRALIAN UNIONS LAUNCH NEW SOUTH WALES STRIKES","",0,NEUTRAL
519,"JAPANS LDP URGES MORE IMPORTS OF 12 FARM ITEMS","",0,NEUTRAL
520,"JAPANESE OFFICIAL TAKES DATA TO MICROCHIP TALKS","",0,NEUTRAL
521,"SHARP CORP SHRPT TO SET UP PLANT IN THAILAND","sharp,",1,POSITIVE
522,"YUGOSLAV WORKERS MAY BE ANGERED BY LOST SUBSIDIES","lost,",-1,NEGATIVE
523,"FRENCH GOVERNMENT WINS CONFIDENCE VOTE","wins, confidence,",2,POSITIVE
524,"ASIAN EXPORTERS FEAR DAMAGE FROM USJAPAN RIFT","rift, damage, fear,",-3,NEGATIVE
525,"UAL UALN PILOTS PROPOSE WAGE CUT TO FUND BUYOUT","",0,NEUTRAL
526,"CHINA DAILY SAYS VERMIN EAT 712 PCT GRAIN STOCKS","",0,NEUTRAL
527,"JAPAN TO REVISE LONGTERM ENERGY DEMAND DOWNWARDS","",0,NEUTRAL
528,"NISSAN MAY SUPPLY PARTS TO MEXICAN FORD CHRYSLER","",0,NEUTRAL
529,"NEW ZEALAND RAISES FOREIGN INVESTMENT THRESHOLD","",0,NEUTRAL
530,"THAI TRADE DEFICIT WIDENS IN FIRST QUARTER","",0,NEUTRAL
531,"INDONESIA SEES CPO PRICE RISING SHARPLY","sharply,",-1,NEGATIVE
532,"JAPANESE CONSORTIUM WINS NEW YORK SUBWAY CAR ORDER","wins,",1,POSITIVE
533,"Japan fouryear note auction average yield record low 3714 pct stop 3743 official","",0,NEUTRAL
534,"Tokyo stock market index rises 12834 to record close of 2291299","",0,NEUTRAL
535,"US HOUSE COMMITTEE PROPOSES DEFENCE CUTS","",0,NEUTRAL
536,"NEC SUES SEIKO EPSON OVER COPYRIGHT INFRINGEMENT","sues, infringement,",-2,NEGATIVE
537,"AUSTRALIAN FOREIGN SHIP BAN ENDS BUT NSW PORTS HIT","",0,NEUTRAL
538,"INDONESIAN COMMODITY EXCHANGE MAY EXPAND","",0,NEUTRAL
539,"SRI LANKA GETS USDA APPROVAL FOR WHEAT PRICE","approval,",1,POSITIVE
540,"WESTERN MINING TO OPEN NEW GOLD MINE IN AUSTRALIA","gold,",1,POSITIVE
541,"SUMITOMO BANK AIMS AT QUICK RECOVERY FROM MERGER","recovery,",1,POSITIVE
542,"SUBROTO SAYS INDONESIA SUPPORTS TIN PACT EXTENSION","supports,",1,POSITIVE
543,"SOUTH AFRICA MINES BODY SEES MAY DAY WORK STOPPAGE","work,",1,POSITIVE
544,"FINAL TERMS SET ON ATARI CORP CONVERTIBLE EUROBOND","",0,NEUTRAL
545,"BANGLADESH LIKELY TO SET HIGHER DEVELOPMENT PLAN","",0,NEUTRAL
546,"Bundesbank allocates 61 billion marks in 28day repurchase pact at 380 pct","",0,NEUTRAL
547,"BUNDESBANK ALLOCATES 61 BILLION MARKS IN TENDER","tender,",1,POSITIVE
548,"UN OFFERS GRANT FOR STUDY ON BANGLADESH BRIDGE","",0,NEUTRAL
549,"EIB 300 MLN GUILDER BULLET BOND PRICED AT PAR","",0,NEUTRAL
550,"BOND CORP STILL CONSIDERING ATLAS MINING BAILOUT","",0,NEUTRAL
551,"ECONOMIC SPOTLIGHT EXCESS MONEY HURTS THAI BANKS","hurts,",-1,NEGATIVE
552,"CHINA INDUSTRIAL OUTPUT RISES IN FIRST QUARTER","",0,NEUTRAL
553,"SAITAMA BANK ISSUES 100 MLN DLR CONVERTIBLE BOND","issues,",-1,NEGATIVE
554,"WESTPAC BANKING ISSUES 50 MLN AUSTRALIAN DLR BOND","issues,",-1,NEGATIVE
555,"JAPANESE AUTOMAKERS TURN TO FOURWHEEL STEERING","",0,NEUTRAL
556,"JAPAN MINISTRY SAYS OPEN FARM TRADE WOULD HIT US","",0,NEUTRAL
557,"AMATIL PROPOSES TWOFORFIVE BONUS SHARE ISSUE","issue, bonus,",0,NEUTRAL
558,"BOWATER 1986 PRETAX PROFITS RISE 156 MLN STG","",0,NEUTRAL
559,"UK MONEY MARKET DEFICIT FORECAST AT 250 MLN STG","",0,NEUTRAL
560,"SOUTH KOREA MOVES TO SLOW GROWTH OF TRADE SURPLUS","slow,",-1,NEGATIVE
561,"FINNS AND CANADIANS TO STUDY MTBE PRODUCTION PLANT","",0,NEUTRAL
562,"GERMAN ENGINEERING WAGEROUND TALKS BREAK DOWN","break,",-1,NEGATIVE
563,"CRA SOLD FORREST GOLD FOR 76 MLN DLRS WHIM CREEK","gold,",1,POSITIVE
564,"MALAYSIA SETS 100 MLN SWISS FRANC NOTES ISSUE","issue,",-1,NEGATIVE
565,"GERMAN INDUSTRIAL EMPLOYMENT SEEN STAGNATING","",0,NEUTRAL
566,"FEDERAL REALTY ISSUES 75 MLN DLR CONVERTIBLE BOND","issues,",-1,NEGATIVE
567,"SEOUL STOCK MARKET CONSOLIDATES ON STATE MEASURES","",0,NEUTRAL
568,"MALAYSIA SHELVES HUGE HYDROELECTRIC PROJECT","",0,NEUTRAL
569,"QUEBEC ISSUES 30 BILLION YEN EUROBOND","issues,",-1,NEGATIVE
570,"BOWATER INDUSTRIES PROFIT EXCEED EXPECTATIONS","exceed,",1,POSITIVE
571,"CITIBANK NORWAY UNIT LOSES SIX MLN CROWNS IN 1986","loses,",-1,NEGATIVE
572,"JAPANESE ECONOMIC PACKAGE SEEN AS MAJOR CHANGE","",0,NEUTRAL
573,"VIEILLE MONTAGNE SAYS 1986 CONDITIONS UNFAVOURABLE","",0,NEUTRAL
574,"VIEILLE MONTAGNE REPORTS LOSS DIVIDEND NIL","loss,",-1,NEGATIVE
575,"EC MAINLY FOR TIN EXTENSION NO UK STAND TAKEN","",0,NEUTRAL
576,"IAE CALLS OFF SUPERFAN ENGINE PROJECT","",0,NEUTRAL
577,"JAPAN BRITAIN TO EXCHANGE SECURITIES MARKET INFO","",0,NEUTRAL
578,"SOUTH KOREA STUDIES RESTRUCTURING FINANCIAL SECTOR","restructuring,",1,POSITIVE
579,"JAPAN GIVEN LITTLE HOPE OF AVOIDING US SANCTIONS","",0,NEUTRAL
580,"THAI ZINC EXPORTS FALL IN MARCH","fall,",-1,NEGATIVE
581,"DUTCH PROPOSE STRICT INSIDER TRADING LAW","strict,",-1,NEGATIVE
582,"DANSK NATURGAS ISSUES 10 BILLION YEN EUROBOND","issues,",-1,NEGATIVE
583,"EC SUGAR TENDER HARD TO PREDICT LONDON TRADE","tender, hard,",0,NEUTRAL
584,"NORTH YEMEN CALLS SUGAR BUYING TENDER TRADE","tender,",1,POSITIVE
585,"JAPAN TO HOLD FORMAL FINANCIAL TALKS WITH FRANCE","",0,NEUTRAL
586,"ANHEUSERBUSCH JOINS BID FOR SAN MIGUEL","",0,NEUTRAL
587,"CHINA CONSTRUCTION BANK MANDATES 150 MLN DLR LOAN","",0,NEUTRAL
588,"ECONOMIC SPOTLIGHT AUSTRALIAN MARKETS BOOMING","booming,",1,POSITIVE
589,"ECONOMIC SPOTLIGHT KUWAITI ECONOMY","",0,NEUTRAL
590,"MALAYSIA MAY NOT MEET 1987 OIL PALM TARGET","",0,NEUTRAL
591,"ELDERS PLANS TO FLOAT OFF COURAGE PUBS","courage,",1,POSITIVE
592,"FREEPORT TO START SULPHUR MINE IN PHILIPPINES","",0,NEUTRAL
593,"BANK OF JAPAN HAS NO COMMENT ON YEN BOND REPORT","",0,NEUTRAL
594,"MAFINA ISSUES 200 MLN SFR BOND WITH WARRANTS","issues,",-1,NEGATIVE
595,"HOKURIKU ELECTRIC ISSUES 35 MLN DLR WARRANT BOND","issues,",-1,NEGATIVE
596,"SAITAMA BANK ISSUES 100 MLN SFR CONVERTIBLE","issues,",-1,NEGATIVE
597,"JARDINE MATHESON SAID IT SETS TWOFORFIVE BONUS ISSUE REPLACING B SHARES","issue, bonus,",0,NEUTRAL
598,"MONIER SAYS BRITAINS REDLAND MAY BID FOR IT","",0,NEUTRAL
599,"FEDERAL REALTY ISSUES 75 MLN DLR CONVERTIBLE BOND","issues,",-1,NEGATIVE
600,"QUEBEC ISSUES 30 BILLION YEN EUROBOND","issues,",-1,NEGATIVE
601,"ISUZU PLANS NO INTERIM DIVIDEND","",0,NEUTRAL
602,"JAPANESE OFFICIAL TAKES DATA TO MICROCHIP TALKS","",0,NEUTRAL
603,"FRENCH GOVERNMENT WINS CONFIDENCE VOTE","wins, confidence,",2,POSITIVE
604,"NORWAY TO TIGHTEN RULES FOR REGISTERING LOANS","",0,NEUTRAL
605,"BELL GROUP CONFIRMS STANDARD CHARTERED STAKE","",0,NEUTRAL
606,"S AFRICA MINES BODY SEES MAY DAY WORK STOPPAGE","work,",1,POSITIVE
607,"NIPPON STEEL DENIES CHINA SEEKING JAPANESE PLANTS","denies,",-1,NEGATIVE
608,"FRENCH FEBRUARY CAR OUTPUT UP 272 PCT","",0,NEUTRAL
609,"JARDINE MATHESON REPLACES B SHARE BY BONUS ISSUE","issue, bonus,",0,NEUTRAL
610,"JAPAN GIVEN LITTLE HOPE OF AVOIDING US SANCTIONS","",0,NEUTRAL
611,"BANK OF JAPAN INTERVENES SOON AFTER TOKYO OPENING","",0,NEUTRAL
612,"MOSCOW INDIGNANT AT REAGAN STATEMENT","indignant,",-1,NEGATIVE
